"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.00157,0.693,194.508,0.387,"0",0.588,"9",0.108,-13.82,"1",20,2019-02-22,0.052,129.968,0.282,"2019","Winter",0,20
0.0101,0.518,269.64,0.518,"0",0.0207,"0",0.409,-11.181,"1",37,2018-11-16,0.0289,89.759,0.32,"2018","Fall",0,37
0.827,0.705,383.761,0.133,"1",0,"3",0.072,-16.559,"1",23,2016-08-14,0.12,127.797,0.205,"2016","Summer",0,23
0.196,0.651,237.778,0.89,"0",7.22e-05,"0",0.301,-4.745,"0",28,2019-03-29,0.0563,149.979,0.866,"2019","Spring",0,28
0.977,0.602,238.166,0.159,"0",0.94,"7",0.108,-24.209,"1",11,2019-05-29,0.0496,122.825,0.446,"2019","Spring",0,11
0.0644,0.828,257.8,0.492,"0",0.00428,"0",0.128,-9.745,"1",12,2020-12-19,0.0276,120.148,0.789,"2020","Winter",0,12
0.147,0.692,263,0.428,"0",0,"7",0.125,-8.955,"0",13,2020-06-09,0.263,139.668,0.339,"2020","Spring",0,13
0.35,0.599,254.827,0.503,"0",0,"5",0.152,-6.997,"1",20,2016-11-10,0.0248,73.966,0.577,"2016","Fall",0,20
0.283,0.754,197.32,0.853,"0",0,"9",0.0887,-4.852,"1",19,2016-11-10,0.0311,115.985,0.711,"2016","Fall",0,19
0.000717,0.585,457.306,0.866,"0",0.846,"9",0.159,-6.126,"0",22,2020-01-06,0.034,127.009,0.45,"2020","Winter",0,22
0.00157,0.693,194.508,0.387,"0",0.588,"9",0.108,-13.82,"1",20,2019-02-22,0.052,129.968,0.282,"2019","Winter",0,20
0.969,0.314,74.302,0.0855,"0",0.795,"9",0.16,-15.775,"1",18,2020-09-16,0.0342,69.893,0.161,"2020","Fall",0,18
0.321,0.563,242.347,0.717,"0",1.6e-05,"8",0.29,-5.822,"1",25,2019-09-30,0.0834,119.83,0.617,"2019","Fall",0,25
0.196,0.651,237.778,0.89,"0",7.22e-05,"0",0.301,-4.745,"0",28,2019-03-29,0.0563,149.979,0.866,"2019","Spring",0,28
0.137,0.571,229.227,0.517,"0",0,"2",0.323,-6.363,"1",34,2016-11-10,0.0235,139.982,0.319,"2016","Fall",0,34
0.343,0.598,232.072,0.672,"0",4e-04,"4",0.121,-10.241,"0",8,2019-04-18,0.0327,104.974,0.552,"2019","Spring",0,8
0.379,0.531,246.357,0.757,"0",0,"2",0.953,-8.036,"1",6,2020-01-31,0.0394,109.993,0.396,"2020","Winter",0,6
0.224,0.599,181.956,0.812,"0",0,"9",0.983,-7.72,"1",12,2020-03-13,0.0377,119.932,0.693,"2020","Winter",0,12
0.022,0.719,309.499,0.794,"1",0,"10",0.533,-5.575,"0",20,2018-08-24,0.27,99.967,0.715,"2018","Summer",0,20
0.001,0.892,196.65,0.417,"1",1.59e-05,"10",0.115,-9.827,"0",18,2018-08-24,0.3,103.994,0.0787,"2018","Summer",0,18
